🇨🇳 5.1环绕声,#genre#
CCTV1,http://112.27.5.218:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0$128,0.55
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$448,9.32
CCTV3,http://112.27.5.218:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0$128,0.71
CCTV5,http://120.238.84.45:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$448,1.86
CCTV5,http://120.238.84.45:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$448,0.69
CCTV5,http://112.27.5.218:9901/tsfile/live/faacts/0016_1.m3u8?key=txiptv&playlive=1&authid=0$128,0.63
CCTV8,http://112.27.5.218:9901/tsfile/live/faacts/0008_1.m3u8?key=txiptv&playlive=1&authid=0$128,0.75
CCTV9,http://112.27.5.218:9901/tsfile/live/faacts/0009_1.m3u8?key=txiptv&playlive=1&authid=0$128,1.36
CCTV16,http://112.27.5.218:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0$128,0.8
CCTV16 4K,http://112.27.5.218:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0$128,0.52
重庆卫视,http://www.sjwyp.com:4022/rtp/239.254.200.203:6323$448,0.43
重庆卫视,http://emby.xlangnan.cn:10316/rtp/239.254.200.203:6323$448
广东卫视,http://183.236.43.98:4013/udp/239.77.1.152:5146$384,0.17
4K频道,#genre#
CCTV16 4K,http://nas.201606.xyz:4022/udp/239.11.0.67:5140
CCTV16 4K,http://0000505.xyz:8888/rtp/239.76.253.230:9000$128
CCTV4K,http://121.29.215.140:2083/rtp/239.253.93.134:6631$128,0.13
CCTV4K,http://121.29.215.140:2083/rtp/239.253.92.219:6228$128
北京IPTV4K,http://home.airengine.net:9003/rtp/228.1.1.123:8001$128,0.38
北京卫视4K,http://120.76.248.139/live/bfgd/4200000083.m3u8$448,4.42
广东卫视4K,http://202.102.201.244:40022/udp/238.1.79.25:4312$128
湖南卫视4K,http://8.138.7.223/tv/api.php?id=hnws4k$128
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php$128
深圳卫视4K,http://nas.201606.xyz:4022/rtp/239.10.0.93:5140
浙江卫视4K,http://202.102.201.244:40022/udp/238.1.79.28:4336$128
浙江卫视4K,http://yulang132.cn:58888/udp/239.94.0.118:5140$128
🇨🇳 高码,#genre#
