🇨🇳 音频高码,#genre#
CCTV1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV4,http://120.211.62.180:8000/hls/4/index.m3u8
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8
CCTV4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV5+,http://120.211.62.180:8000/hls/18/index.m3u8
CCTV6,https://t.freetv.fun/live/cctv6.php
CCTV12,http://120.211.62.180:8000/hls/12/index.m3u8
CCTV12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV13,http://1.24.39.180:9003/hls/13/index.m3u8
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8
CCTV15,http://1.24.39.180:808/hls/15/index.m3u8
CHC动作电影,http://120.238.94.82:9901/tsfile/live/1052_1.m3u8
CHC动作电影,http://218.15.183.23:9901/tsfile/live/23039_1.m3u8
CHC家庭影院,http://jiangxun.sendsmtp.com:40222/udp/239.81.0.238:4056
安徽卫视,http://111.61.236.247:9081/hls/27/index.m3u8
安徽卫视,http://120.211.62.180:8000/hls/33/index.m3u8
安徽卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
安徽综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8
重庆卫视,http://222.223.41.27:8888/hls/43/index.m3u8
重庆卫视,http://183.237.71.182:40000/hls/36/index.m3u8
第一剧场,http://120.198.95.220:9901/tsfile/live/1071_1.m3u8?key=txiptv
第一剧场,http://hmfs.f3322.net:3388/hls/21/index.m3u8
第一剧场,http://120.238.84.45:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://111.61.236.247:9081/hls/40/index.m3u8
东方卫视,http://112.46.85.60:8009/hls/31/index.m3u8
东方卫视,http://hmfs.f3322.net:3388/hls/24/index.m3u8
动漫秀场,http://www.li0580.top:4022/udp/233.50.201.184:5140
动漫秀场,http://www.li0580.top:4022/udp/233.50.200.12:5140
动漫秀场,http://183.237.95.108:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
都市剧场,http://www.li0580.top:4022/udp/233.50.201.190:5140
法治天地,http://scdx.zubo.cc.cd:9977/rtp/239.94.1.166:5140
风云剧场,http://120.238.84.45:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,http://221.7.49.226:50085/tsfile/live/0017_8.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://202.102.201.244:40022/rtp/238.1.79.57:4592
风云足球,http://hmfs.f3322.net:3388/hls/9/index.m3u8
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东体育,http://120.238.94.82:9901/tsfile/live/1012_1.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
哈哈炫动,http://120.196.235.42:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://183.223.157.33:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://221.7.49.226:50085/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8
湖南卫视,http://60.13.52.236:65500/newlive/live/hls/19/live.m3u8
湖南卫视,http://183.237.240.235:808/hls/27/index.m3u8
江苏卫视,http://112.46.85.60:8009/hls/33/index.m3u8
江苏卫视,http://221.7.49.226:50085/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
金鹰纪实,http://bigy.timwin.top:5400/udp/239.3.1.58:8156
金鹰卡通,http://221.7.49.226:50085/tsfile/live/0018_7.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://www.li0580.top:4022/udp/233.50.202.33:5140
卡酷少儿,http://sss918.synology.me:8000/udp/233.50.202.33:5140
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8
山东卫视,http://111.61.236.247:9081/hls/31/index.m3u8
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8
天津卫视,http://111.61.236.247:9081/hls/29/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
浙江卫视,http://60.13.52.236:65500/newlive/live/hls/21/live.m3u8
🇨🇳 4K,#genre#
CCTV16 4K,http://nas.201606.xyz:4022/udp/239.11.0.67:5140
CCTV16 4K,http://ddns.xryo.cn:8888/rtp/239.111.205.134:5140
CCTV4K,http://183.236.43.98:4013/udp/239.77.0.194:5146
CCTV4K,http://183.236.43.98:4111/udp/239.77.0.194:5146
CCTV4K,http://ddns.xryo.cn:8888/rtp/239.111.205.40:5140
北京卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.2:5146
广东卫视4K,http://183.236.43.98:4013/udp/239.77.0.244:5146
广东卫视4K,http://nas.201606.xyz:4022/rtp/239.10.0.94:5140
广东卫视4K,http://183.236.43.98:4013/udp/239.77.0.245:5146
河北卫视4K,https://event.pull.hebtv.com:443/live/live101.m3u8
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视4K,http://124.116.170.138:8081/rtp/239.111.205.65:5140?
深圳卫视4K,http://nas.201606.xyz:4022/rtp/239.10.0.93:5140
湖南卫视4K,http://124.116.170.138:8081/rtp/239.111.205.63:5140?
湖南卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
爱上4K,http://nas.201606.xyz:4022/udp/239.11.0.120:5140
爱上4K,http://183.220.107.138:4022/rtp/239.11.0.120:5140
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
四川卫视4K,http://ddns.xryo.cn:8888/rtp/239.110.205.90:7916
四川卫视4K,http://ddns.xryo.cn:8888/rtp/239.111.205.62:5140
江苏卫视4K,http://ddns.xryo.cn:8888/rtp/239.109.205.97:8712
浙江卫视4K,https://ali-xwl.cztv.com/live/channel4k2160p.m3u8
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
山东卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.66:5140
深圳卫视4K,http://ddns.xryo.cn:8888/rtp/239.109.205.195:9642
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
山东卫视4K,http://ddns.xryo.cn:8888/rtp/239.110.205.6:9770
CCTV16 4K,http://223.95.198.3:8000/hls/16/index.m3u8
CCTV16 4K,http://221.7.49.226:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视4K,http://27.129.145.110:4433/hls/28/index.m3u8
四川卫视4K,http://112.27.235.94:8000/hls/35/index.m3u8
北京卫视4K,http://nas.201606.xyz:4022/rtp/239.10.0.91:5140
🇨🇳 央视,#genre#
CCTV1,http://cx.li13313000882.cn:24280/hls/1/index.m3u8
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV1,http://112.123.243.37:50085/tsfile/live/0001_1.m3u8
